project,bug,cornTotal,corn2,cornN,cornIN,isCorn
jdt,19063,220,193,27,26,1
jdt,481796,155,109,46,41,1
p2,265550,133,123,10,8,1
p2,263272,125,92,33,15,1
p2,294691,113,64,49,39,1
jdt,247564,107,83,24,5,1
jdt,440477,99,80,19,16,1
jdt,202470,94,72,22,9,1
p2,233699,89,52,37,37,1
p2,216278,85,55,30,26,1
p2,215924,83,53,30,29,1
jdt,477291,75,53,22,22,1
p2,208601,73,68,5,0,0
swt,485821,71,42,29,29,1
jdt,71761,66,41,25,15,1
p2,269496,66,58,8,8,1
p2,255913,65,42,23,23,1
p2,225755,60,35,25,21,1
p2,309539,59,25,34,33,1
jdt,6930,57,43,14,11,1
jdt,437444,57,44,13,4,1
jdt,44984,53,49,4,4,1
p2,203011,53,33,20,15,1
jdt,480992,52,29,23,7,1
jdt,371732,52,39,13,13,1
p2,297255,52,32,20,19,1
jdt,399794,51,26,25,20,1
jdt,514089,50,28,22,19,1
p2,262333,50,35,15,12,1
p2,321819,50,40,10,5,1
jdt,370540,49,26,23,23,1
jdt,152123,47,46,1,1,1
jdt,479610,46,27,19,16,1
p2,210006,46,42,4,4,1
p2,205223,46,37,9,8,1
p2,260913,46,27,19,19,1
jdt,391895,45,32,13,13,1
p2,206077,45,35,10,10,1
p2,252685,44,22,22,19,1
p2,301292,44,16,28,28,1
jdt,188796,41,37,4,4,1
p2,212348,41,28,13,12,1
p2,256364,40,38,2,2,1
p2,421935,40,27,13,13,1
jdt,506878,39,30,9,7,1
jdt,486988,39,27,12,9,1
jdt,478042,37,29,8,6,1
p2,204402,37,29,8,6,1
p2,214524,36,31,5,4,1
swt,513037,35,21,14,13,1
jdt,186342,34,25,9,5,1
jdt,517841,34,28,6,6,1
jdt,130778,33,15,18,7,1
jdt,520651,32,26,6,1,1
p2,301903,32,22,10,7,1
jdt,390784,31,19,12,3,1
p2,305031,31,11,20,20,1
p2,200380,31,17,14,14,1
jdt,518301,30,16,14,14,1
p2,203323,30,17,13,13,1
p2,261928,30,25,5,5,1
p2,250862,30,25,5,4,1
p2,422054,30,18,12,12,1
p2,521156,29,26,3,3,1
swt,509086,29,19,10,8,1
jdt,490010,28,22,6,6,1
swt,502845,28,14,14,14,1
jdt,473178,28,28,0,0,0
p2,207978,28,28,0,0,0
jdt,512741,27,20,7,6,1
p2,208003,27,25,2,1,1
p2,248951,27,25,2,1,1
p2,228523,27,27,0,0,0
jdt,407191,26,22,4,2,1
p2,212047,26,19,7,5,1
jdt,356620,24,12,12,8,1
p2,250452,24,19,5,5,1
p2,260950,24,16,8,8,1
swt,457659,24,17,7,7,1
jdt,102572,23,16,7,7,1
jdt,508889,23,17,6,5,1
jdt,501034,23,13,10,8,1
p2,216026,23,19,4,3,1
p2,525599,23,19,4,4,1
p2,256037,23,22,1,1,1
p2,260066,23,20,3,2,1
p2,223423,23,21,2,2,1
jdt,127575,23,15,8,0,0
p2,222445,23,20,3,0,0
jdt,486011,22,17,5,4,1
jdt,519723,22,9,13,12,1
jdt,413613,22,12,10,7,1
