Project,IssueID,Lambda,Upsilon,Domino,Cyclic
jdt,102572,1,0,0,0
jdt,106541,1,1,1,0
jdt,107389,0,0,0,0
jdt,11076,0,0,0,0
jdt,114115,1,1,0,0
jdt,119244,1,1,1,0
jdt,124525,1,1,0,0
jdt,125641,1,1,1,0
jdt,127575,1,1,1,0
jdt,129584,1,1,1,0
jdt,130778,1,1,1,1
jdt,132679,1,0,1,0
jdt,133005,1,1,0,0
jdt,133491,0,1,0,0
jdt,135217,1,1,1,0
jdt,140521,1,0,1,0
jdt,145329,1,1,1,0
jdt,145367,1,0,0,0
jdt,148115,0,0,0,0
jdt,148944,0,1,1,0
jdt,150228,0,1,1,0
jdt,152123,1,1,0,0
jdt,162865,1,0,1,0
jdt,165900,1,1,0,0
jdt,170692,1,1,1,0
jdt,171019,0,0,0,0
jdt,176132,1,1,1,0
jdt,177174,1,1,1,0
jdt,178039,1,1,1,0
jdt,178138,1,0,0,0
jdt,178213,1,0,0,0
jdt,179684,1,0,0,0
jdt,185010,1,1,1,0
jdt,185220,0,0,0,0
jdt,186342,1,1,0,0
jdt,188559,0,0,0,0
jdt,188796,0,0,0,0
jdt,190612,0,0,0,0
jdt,19063,0,0,0,0
jdt,193909,1,1,0,0
jdt,197050,0,1,0,0
jdt,200124,1,0,0,0
jdt,202467,1,1,1,0
jdt,202470,1,1,1,0
jdt,210521,1,0,0,0
jdt,22072,0,0,0,0
jdt,224750,0,0,0,0
jdt,227855,0,0,1,0
jdt,228464,1,1,0,0
jdt,230885,0,0,0,0
jdt,23126,0,0,0,0
jdt,23162,1,1,0,0
jdt,23284,0,1,0,0
jdt,232880,1,1,1,0
jdt,237241,1,0,0,0
jdt,24127,0,0,0,0
jdt,24308,1,0,0,0
jdt,247564,1,1,1,0
jdt,247941,1,1,1,0
jdt,258917,0,0,0,0
jdt,25928,1,1,0,0
jdt,26025,0,0,0,0
jdt,261600,1,0,0,0
jdt,261973,0,0,0,0
jdt,265744,1,0,0,0
jdt,271680,1,1,1,1
jdt,272711,1,1,1,0
jdt,28268,0,0,0,0
jdt,287164,1,1,1,0
jdt,29536,0,0,0,0
jdt,297825,1,0,0,0
jdt,29864,1,1,1,0
jdt,30511,0,0,0,0
jdt,31652,0,1,0,0
jdt,317841,0,0,0,0
jdt,3243,0,0,0,0
jdt,326950,1,0,1,0
jdt,331649,1,1,1,0
jdt,334783,1,1,0,0
jdt,338118,1,1,1,0
jdt,338234,1,1,1,0
jdt,339139,0,0,0,0
jdt,342054,1,1,1,0
jdt,342598,1,1,1,0
jdt,342757,1,0,0,0
jdt,345305,1,1,1,0
jdt,346529,1,1,0,0
jdt,349326,1,1,1,0
jdt,350000,1,0,0,0
jdt,356620,1,1,1,0
jdt,356746,1,1,1,0
jdt,358903,1,1,1,0
jdt,359334,1,1,1,0
jdt,359495,1,0,0,0
jdt,359943,1,1,1,0
jdt,360164,1,0,0,0
jdt,360328,1,1,0,0
jdt,365387,0,0,0,0
jdt,365437,1,1,0,0
jdt,365519,0,0,0,0
